** FASE 1: Generazione dei 5-subset a distanza casuale (4)
** Base set: 0000011111 {a, b, c, d, e}
   1 [4]: (0001F0) 0111110000 {e, f, g, h, i}
   2 [4]: (0002F0) 1011110000 {e, f, g, h, j}
   3 [4]: (000370) 1101110000 {e, f, g, i, j}
   4 [4]: (0003B0) 1110110000 {e, f, h, i, j}
   5 [4]: (0003D0) 1111010000 {e, g, h, i, j}
   6 [4]: (0001E8) 0111101000 {d, f, g, h, i}
   7 [4]: (0002E8) 1011101000 {d, f, g, h, j}
   8 [4]: (000368) 1101101000 {d, f, g, i, j}
   9 [4]: (0003A8) 1110101000 {d, f, h, i, j}
  10 [4]: (0003C8) 1111001000 {d, g, h, i, j}
  11 [4]: (0001E4) 0111100100 {c, f, g, h, i}
  12 [4]: (0002E4) 1011100100 {c, f, g, h, j}
  13 [4]: (000364) 1101100100 {c, f, g, i, j}
  14 [4]: (0003A4) 1110100100 {c, f, h, i, j}
  15 [4]: (0003C4) 1111000100 {c, g, h, i, j}
  16 [4]: (0001E2) 0111100010 {b, f, g, h, i}
  17 [4]: (0002E2) 1011100010 {b, f, g, h, j}
  18 [4]: (000362) 1101100010 {b, f, g, i, j}
  19 [4]: (0003A2) 1110100010 {b, f, h, i, j}
  20 [4]: (0003C2) 1111000010 {b, g, h, i, j}
  21 [4]: (0001E1) 0111100001 {a, f, g, h, i}
  22 [4]: (0002E1) 1011100001 {a, f, g, h, j}
  23 [4]: (000361) 1101100001 {a, f, g, i, j}
  24 [4]: (0003A1) 1110100001 {a, f, h, i, j}
  25 [4]: (0003C1) 1111000001 {a, g, h, i, j}

** FASE 2: Generazione esaustiva dei 5-subset
**         ordinati per distanza di Hamming crescente:

=== d = 0 ===
** Base set: 0000011111 {a, b, c, d, e}

=== d = 1 ===
   1 [1]: (00003E) 0000111110 {b, c, d, e, f}
   2 [1]: (00005E) 0001011110 {b, c, d, e, g}
   3 [1]: (00009E) 0010011110 {b, c, d, e, h}
   4 [1]: (00011E) 0100011110 {b, c, d, e, i}
   5 [1]: (00021E) 1000011110 {b, c, d, e, j}
   6 [1]: (00003D) 0000111101 {a, c, d, e, f}
   7 [1]: (00005D) 0001011101 {a, c, d, e, g}
   8 [1]: (00009D) 0010011101 {a, c, d, e, h}
   9 [1]: (00011D) 0100011101 {a, c, d, e, i}
  10 [1]: (00021D) 1000011101 {a, c, d, e, j}
  11 [1]: (00003B) 0000111011 {a, b, d, e, f}
  12 [1]: (00005B) 0001011011 {a, b, d, e, g}
  13 [1]: (00009B) 0010011011 {a, b, d, e, h}
  14 [1]: (00011B) 0100011011 {a, b, d, e, i}
  15 [1]: (00021B) 1000011011 {a, b, d, e, j}
  16 [1]: (000037) 0000110111 {a, b, c, e, f}
  17 [1]: (000057) 0001010111 {a, b, c, e, g}
  18 [1]: (000097) 0010010111 {a, b, c, e, h}
  19 [1]: (000117) 0100010111 {a, b, c, e, i}
  20 [1]: (000217) 1000010111 {a, b, c, e, j}
  21 [1]: (00002F) 0000101111 {a, b, c, d, f}
  22 [1]: (00004F) 0001001111 {a, b, c, d, g}
  23 [1]: (00008F) 0010001111 {a, b, c, d, h}
  24 [1]: (00010F) 0100001111 {a, b, c, d, i}
  25 [1]: (00020F) 1000001111 {a, b, c, d, j}

=== d = 2 ===
  26 [2]: (00007C) 0001111100 {c, d, e, f, g}
  27 [2]: (0000BC) 0010111100 {c, d, e, f, h}
  28 [2]: (0000DC) 0011011100 {c, d, e, g, h}
  29 [2]: (00013C) 0100111100 {c, d, e, f, i}
  30 [2]: (00015C) 0101011100 {c, d, e, g, i}
  31 [2]: (00019C) 0110011100 {c, d, e, h, i}
