** FASE 1: Generazione dei 4-subset a distanza casuale (1)
** Base set: 000000001111 {a, b, c, d}
   1 [1]: (00001E) 000000011110 {b, c, d, e}
   2 [1]: (00002E) 000000101110 {b, c, d, f}
   3 [1]: (00004E) 000001001110 {b, c, d, g}
   4 [1]: (00008E) 000010001110 {b, c, d, h}
   5 [1]: (00010E) 000100001110 {b, c, d, i}
   6 [1]: (00020E) 001000001110 {b, c, d, j}
   7 [1]: (00040E) 010000001110 {b, c, d, k}
   8 [1]: (00080E) 100000001110 {b, c, d, l}
   9 [1]: (00001D) 000000011101 {a, c, d, e}
  10 [1]: (00002D) 000000101101 {a, c, d, f}
  11 [1]: (00004D) 000001001101 {a, c, d, g}
  12 [1]: (00008D) 000010001101 {a, c, d, h}
  13 [1]: (00010D) 000100001101 {a, c, d, i}
  14 [1]: (00020D) 001000001101 {a, c, d, j}
  15 [1]: (00040D) 010000001101 {a, c, d, k}
  16 [1]: (00080D) 100000001101 {a, c, d, l}
  17 [1]: (00001B) 000000011011 {a, b, d, e}
  18 [1]: (00002B) 000000101011 {a, b, d, f}
  19 [1]: (00004B) 000001001011 {a, b, d, g}
  20 [1]: (00008B) 000010001011 {a, b, d, h}
  21 [1]: (00010B) 000100001011 {a, b, d, i}
  22 [1]: (00020B) 001000001011 {a, b, d, j}
  23 [1]: (00040B) 010000001011 {a, b, d, k}
  24 [1]: (00080B) 100000001011 {a, b, d, l}
  25 [1]: (000017) 000000010111 {a, b, c, e}
  26 [1]: (000027) 000000100111 {a, b, c, f}
  27 [1]: (000047) 000001000111 {a, b, c, g}
  28 [1]: (000087) 000010000111 {a, b, c, h}
  29 [1]: (000107) 000100000111 {a, b, c, i}
  30 [1]: (000207) 001000000111 {a, b, c, j}
  31 [1]: (000407) 010000000111 {a, b, c, k}
  32 [1]: (000807) 100000000111 {a, b, c, l}

** FASE 2: Generazione esaustiva dei 4-subset
**         ordinati per distanza di Hamming crescente:

=== d = 0 ===
** Base set: 000000001111 {a, b, c, d}

=== d = 1 ===
   1 [1]: (00001E) 000000011110 {b, c, d, e}
   2 [1]: (00002E) 000000101110 {b, c, d, f}
   3 [1]: (00004E) 000001001110 {b, c, d, g}
   4 [1]: (00008E) 000010001110 {b, c, d, h}
   5 [1]: (00010E) 000100001110 {b, c, d, i}
   6 [1]: (00020E) 001000001110 {b, c, d, j}
   7 [1]: (00040E) 010000001110 {b, c, d, k}
   8 [1]: (00080E) 100000001110 {b, c, d, l}
   9 [1]: (00001D) 000000011101 {a, c, d, e}
  10 [1]: (00002D) 000000101101 {a, c, d, f}
  11 [1]: (00004D) 000001001101 {a, c, d, g}
  12 [1]: (00008D) 000010001101 {a, c, d, h}
  13 [1]: (00010D) 000100001101 {a, c, d, i}
  14 [1]: (00020D) 001000001101 {a, c, d, j}
  15 [1]: (00040D) 010000001101 {a, c, d, k}
  16 [1]: (00080D) 100000001101 {a, c, d, l}
  17 [1]: (00001B) 000000011011 {a, b, d, e}
  18 [1]: (00002B) 000000101011 {a, b, d, f}
  19 [1]: (00004B) 000001001011 {a, b, d, g}
  20 [1]: (00008B) 000010001011 {a, b, d, h}
  21 [1]: (00010B) 000100001011 {a, b, d, i}
  22 [1]: (00020B) 001000001011 {a, b, d, j}
  23 [1]: (00040B) 010000001011 {a, b, d, k}
  24 [1]: (00080B) 100000001011 {a, b, d, l}
  25 [1]: (000017) 000000010111 {a, b, c, e}
  26 [1]: (000027) 000000100111 {a, b, c, f}
  27 [1]: (000047) 000001000111 {a, b, c, g}
  28 [1]: (000087) 000010000111 {a, b, c, h}
  29 [1]: (000107) 000100000111 {a, b, c, i}
  30 [1]: (000207) 001000000111 {a, b, c, j}
  31 [1]: (000407) 010000000111 {a, b, c, k}
  32 [1]: (000807) 100000000111 {a, b, c, l}

=== d = 2 ===
  33 [2]: (00003C) 000000111100 {c, d, e, f}
  34 [2]: (00005C) 000001011100 {c, d, e, g}
  35 [2]: (00006C) 000001101100 {c, d, f, g}
  36 [2]: (00009C) 000010011100 {c, d, e, h}
  37 [2]: (0000AC) 000010101100 {c, d, f, h}
  38 [2]: (0000CC) 000011001100 {c, d, g, h}
  39 [2]: (00011C) 000100011100 {c, d, e, i}
  40 [2]: (00012C) 000100101100 {c, d, f, i}
  41 [2]: (00014C) 000101001100 {c, d, g, i}
  42 [2]: (00018C) 000110001100 {c, d, h, i}
  43 [2]: (00021C) 001000011100 {c, d, e, j}
  44 [2]: (00022C) 001000101100 {c, d, f, j}
  45 [2]: (00024C) 001001001100 {c, d, g, j}
  46 [2]: (00028C) 001010001100 {c, d, h, j}
  47 [2]: (00030C) 001100001100 {c, d, i, j}
  48 [2]: (00041C) 010000011100 {c, d, e, k}
  49 [2]: (00042C) 010000101100 {c, d, f, k}
  50 [2]: (00044C) 010001001100 {c, d, g, k}
  51 [2]: (00048C) 010010001100 {c, d, h, k}
  52 [2]: (00050C) 010100001100 {c, d, i, k}
  53 [2]: (00060C) 011000001100 {c, d, j, k}
  54 [2]: (00081C) 100000011100 {c, d, e, l}
  55 [2]: (00082C) 100000101100 {c, d, f, l}
  56 [2]: (00084C) 100001001100 {c, d, g, l}
  57 [2]: (00088C) 100010001100 {c, d, h, l}
  58 [2]: (00090C) 100100001100 {c, d, i, l}
  59 [2]: (000A0C) 101000001100 {c, d, j, l}
  60 [2]: (000C0C) 110000001100 {c, d, k, l}
  61 [2]: (00003A) 000000111010 {b, d, e, f}
  62 [2]: (00005A) 000001011010 {b, d, e, g}
  63 [2]: (00006A) 000001101010 {b, d, f, g}
  64 [2]: (00009A) 000010011010 {b, d, e, h}
  65 [2]: (0000AA) 000010101010 {b, d, f, h}
  66 [2]: (0000CA) 000011001010 {b, d, g, h}
  67 [2]: (00011A) 000100011010 {b, d, e, i}
  68 [2]: (00012A) 000100101010 {b, d, f, i}
  69 [2]: (00014A) 000101001010 {b, d, g, i}
  70 [2]: (00018A) 000110001010 {b, d, h, i}
  71 [2]: (00021A) 001000011010 {b, d, e, j}
  72 [2]: (00022A) 001000101010 {b, d, f, j}
  73 [2]: (00024A) 001001001010 {b, d, g, j}
  74 [2]: (00028A) 001010001010 {b, d, h, j}
  75 [2]: (00030A) 001100001010 {b, d, i, j}
  76 [2]: (00041A) 010000011010 {b, d, e, k}
  77 [2]: (00042A) 010000101010 {b, d, f, k}
  78 [2]: (00044A) 010001001010 {b, d, g, k}
  79 [2]: (00048A) 010010001010 {b, d, h, k}
  80 [2]: (00050A) 010100001010 {b, d, i, k}
  81 [2]: (00060A) 011000001010 {b, d, j, k}
  82 [2]: (00081A) 100000011010 {b, d, e, l}
  83 [2]: (00082A) 100000101010 {b, d, f, l}
  84 [2]: (00084A) 100001001010 {b, d, g, l}
  85 [2]: (00088A) 100010001010 {b, d, h, l}
  86 [2]: (00090A) 100100001010 {b, d, i, l}
  87 [2]: (000A0A) 101000001010 {b, d, j, l}
  88 [2]: (000C0A) 110000001010 {b, d, k, l}
  89 [2]: (000039) 000000111001 {a, d, e, f}
  90 [2]: (000059) 000001011001 {a, d, e, g}
  91 [2]: (000069) 000001101001 {a, d, f, g}
  92 [2]: (000099) 000010011001 {a, d, e, h}
  93 [2]: (0000A9) 000010101001 {a, d, f, h}
  94 [2]: (0000C9) 000011001001 {a, d, g, h}
  95 [2]: (000119) 000100011001 {a, d, e, i}
  96 [2]: (000129) 000100101001 {a, d, f, i}
  97 [2]: (000149) 000101001001 {a, d, g, i}
  98 [2]: (000189) 000110001001 {a, d, h, i}
  99 [2]: (000219) 001000011001 {a, d, e, j}
 100 [2]: (000229) 001000101001 {a, d, f, j}
 101 [2]: (000249) 001001001001 {a, d, g, j}
 102 [2]: (000289) 001010001001 {a, d, h, j}
 103 [2]: (000309) 001100001001 {a, d, i, j}
 104 [2]: (000419) 010000011001 {a, d, e, k}
 105 [2]: (000429) 010000101001 {a, d, f, k}
 106 [2]: (000449) 010001001001 {a, d, g, k}
 107 [2]: (000489) 010010001001 {a, d, h, k}
 108 [2]: (000509) 010100001001 {a, d, i, k}
 109 [2]: (000609) 011000001001 {a, d, j, k}
 110 [2]: (000819) 100000011001 {a, d, e, l}
 111 [2]: (000829) 100000101001 {a, d, f, l}
 112 [2]: (000849) 100001001001 {a, d, g, l}
 113 [2]: (000889) 100010001001 {a, d, h, l}
 114 [2]: (000909) 100100001001 {a, d, i, l}
 115 [2]: (000A09) 101000001001 {a, d, j, l}
 116 [2]: (000C09) 110000001001 {a, d, k, l}
 117 [2]: (000036) 000000110110 {b, c, e, f}
 118 [2]: (000056) 000001010110 {b, c, e, g}
 119 [2]: (000066) 000001100110 {b, c, f, g}
 120 [2]: (000096) 000010010110 {b, c, e, h}
 121 [2]: (0000A6) 000010100110 {b, c, f, h}
 122 [2]: (0000C6) 000011000110 {b, c, g, h}
 123 [2]: (000116) 000100010110 {b, c, e, i}
 124 [2]: (000126) 000100100110 {b, c, f, i}
 125 [2]: (000146) 000101000110 {b, c, g, i}
 126 [2]: (000186) 000110000110 {b, c, h, i}
 127 [2]: (000216) 001000010110 {b, c, e, j}
 128 [2]: (000226) 001000100110 {b, c, f, j}
 129 [2]: (000246) 001001000110 {b, c, g, j}
 130 [2]: (000286) 001010000110 {b, c, h, j}
 131 [2]: (000306) 001100000110 {b, c, i, j}
 132 [2]: (000416) 010000010110 {b, c, e, k}
 133 [2]: (000426) 010000100110 {b, c, f, k}
 134 [2]: (000446) 010001000110 {b, c, g, k}
 135 [2]: (000486) 010010000110 {b, c, h, k}
 136 [2]: (000506) 010100000110 {b, c, i, k}
 137 [2]: (000606) 011000000110 {b, c, j, k}
 138 [2]: (000816) 100000010110 {b, c, e, l}
 139 [2]: (000826) 100000100110 {b, c, f, l}
 140 [2]: (000846) 100001000110 {b, c, g, l}
 141 [2]: (000886) 100010000110 {b, c, h, l}
 142 [2]: (000906) 100100000110 {b, c, i, l}
 143 [2]: (000A06) 101000000110 {b, c, j, l}
 144 [2]: (000C06) 110000000110 {b, c, k, l}
 145 [2]: (000035) 000000110101 {a, c, e, f}
 146 [2]: (000055) 000001010101 {a, c, e, g}
 147 [2]: (000065) 000001100101 {a, c, f, g}
 148 [2]: (000095) 000010010101 {a, c, e, h}
 149 [2]: (0000A5) 000010100101 {a, c, f, h}
 150 [2]: (0000C5) 000011000101 {a, c, g, h}
 151 [2]: (000115) 000100010101 {a, c, e, i}
 152 [2]: (000125) 000100100101 {a, c, f, i}
 153 [2]: (000145) 000101000101 {a, c, g, i}
 154 [2]: (000185) 000110000101 {a, c, h, i}
 155 [2]: (000215) 001000010101 {a, c, e, j}
 156 [2]: (000225) 001000100101 {a, c, f, j}
