** FASE 1: Generazione dei 6-subset a distanza casuale (5)
** Base set: 000000111111 {a, b, c, d, e, f}
   1 [5]: (0007E0) 011111100000 {f, g, h, i, j, k}
   2 [5]: (000BE0) 101111100000 {f, g, h, i, j, l}
   3 [5]: (000DE0) 110111100000 {f, g, h, i, k, l}
   4 [5]: (000EE0) 111011100000 {f, g, h, j, k, l}
   5 [5]: (000F60) 111101100000 {f, g, i, j, k, l}
   6 [5]: (000FA0) 111110100000 {f, h, i, j, k, l}
   7 [5]: (0007D0) 011111010000 {e, g, h, i, j, k}
   8 [5]: (000BD0) 101111010000 {e, g, h, i, j, l}
   9 [5]: (000DD0) 110111010000 {e, g, h, i, k, l}
  10 [5]: (000ED0) 111011010000 {e, g, h, j, k, l}
  11 [5]: (000F50) 111101010000 {e, g, i, j, k, l}
  12 [5]: (000F90) 111110010000 {e, h, i, j, k, l}
  13 [5]: (0007C8) 011111001000 {d, g, h, i, j, k}
  14 [5]: (000BC8) 101111001000 {d, g, h, i, j, l}
  15 [5]: (000DC8) 110111001000 {d, g, h, i, k, l}
  16 [5]: (000EC8) 111011001000 {d, g, h, j, k, l}
  17 [5]: (000F48) 111101001000 {d, g, i, j, k, l}
  18 [5]: (000F88) 111110001000 {d, h, i, j, k, l}
  19 [5]: (0007C4) 011111000100 {c, g, h, i, j, k}
  20 [5]: (000BC4) 101111000100 {c, g, h, i, j, l}
  21 [5]: (000DC4) 110111000100 {c, g, h, i, k, l}
  22 [5]: (000EC4) 111011000100 {c, g, h, j, k, l}
  23 [5]: (000F44) 111101000100 {c, g, i, j, k, l}
  24 [5]: (000F84) 111110000100 {c, h, i, j, k, l}
  25 [5]: (0007C2) 011111000010 {b, g, h, i, j, k}
  26 [5]: (000BC2) 101111000010 {b, g, h, i, j, l}
  27 [5]: (000DC2) 110111000010 {b, g, h, i, k, l}
  28 [5]: (000EC2) 111011000010 {b, g, h, j, k, l}
  29 [5]: (000F42) 111101000010 {b, g, i, j, k, l}
  30 [5]: (000F82) 111110000010 {b, h, i, j, k, l}
  31 [5]: (0007C1) 011111000001 {a, g, h, i, j, k}
  32 [5]: (000BC1) 101111000001 {a, g, h, i, j, l}
  33 [5]: (000DC1) 110111000001 {a, g, h, i, k, l}
  34 [5]: (000EC1) 111011000001 {a, g, h, j, k, l}
  35 [5]: (000F41) 111101000001 {a, g, i, j, k, l}
  36 [5]: (000F81) 111110000001 {a, h, i, j, k, l}

** FASE 2: Generazione esaustiva dei 6-subset
**         ordinati per distanza di Hamming crescente:

=== d = 0 ===
** Base set: 000000111111 {a, b, c, d, e, f}

=== d = 1 ===
   1 [1]: (00007E) 000001111110 {b, c, d, e, f, g}
   2 [1]: (0000BE) 000010111110 {b, c, d, e, f, h}
   3 [1]: (00013E) 000100111110 {b, c, d, e, f, i}
   4 [1]: (00023E) 001000111110 {b, c, d, e, f, j}
   5 [1]: (00043E) 010000111110 {b, c, d, e, f, k}
   6 [1]: (00083E) 100000111110 {b, c, d, e, f, l}
   7 [1]: (00007D) 000001111101 {a, c, d, e, f, g}
   8 [1]: (0000BD) 000010111101 {a, c, d, e, f, h}
