** FASE 1: Generazione dei 3-subset a distanza casuale (2)
** Base set: 0000000000000000000111 {a, b, c}
   1 [2]: (00001C) 0000000000000000011100 {c, d, e}
   2 [2]: (00002C) 0000000000000000101100 {c, d, f}
   3 [2]: (000034) 0000000000000000110100 {c, e, f}
   4 [2]: (00004C) 0000000000000001001100 {c, d, g}
   5 [2]: (000054) 0000000000000001010100 {c, e, g}
   6 [2]: (000064) 0000000000000001100100 {c, f, g}
   7 [2]: (00008C) 0000000000000010001100 {c, d, h}
   8 [2]: (000094) 0000000000000010010100 {c, e, h}
   9 [2]: (0000A4) 0000000000000010100100 {c, f, h}
  10 [2]: (0000C4) 0000000000000011000100 {c, g, h}
  11 [2]: (00010C) 0000000000000100001100 {c, d, i}
  12 [2]: (000114) 0000000000000100010100 {c, e, i}
  13 [2]: (000124) 0000000000000100100100 {c, f, i}
  14 [2]: (000144) 0000000000000101000100 {c, g, i}
  15 [2]: (000184) 0000000000000110000100 {c, h, i}
  16 [2]: (00020C) 0000000000001000001100 {c, d, j}
  17 [2]: (000214) 0000000000001000010100 {c, e, j}
  18 [2]: (000224) 0000000000001000100100 {c, f, j}
  19 [2]: (000244) 0000000000001001000100 {c, g, j}
  20 [2]: (000284) 0000000000001010000100 {c, h, j}
  21 [2]: (000304) 0000000000001100000100 {c, i, j}
  22 [2]: (00040C) 0000000000010000001100 {c, d, k}
  23 [2]: (000414) 0000000000010000010100 {c, e, k}
  24 [2]: (000424) 0000000000010000100100 {c, f, k}
  25 [2]: (000444) 0000000000010001000100 {c, g, k}
  26 [2]: (000484) 0000000000010010000100 {c, h, k}
  27 [2]: (000504) 0000000000010100000100 {c, i, k}
  28 [2]: (000604) 0000000000011000000100 {c, j, k}
  29 [2]: (00080C) 0000000000100000001100 {c, d, l}
  30 [2]: (000814) 0000000000100000010100 {c, e, l}
  31 [2]: (000824) 0000000000100000100100 {c, f, l}
  32 [2]: (000844) 0000000000100001000100 {c, g, l}
  33 [2]: (000884) 0000000000100010000100 {c, h, l}
  34 [2]: (000904) 0000000000100100000100 {c, i, l}
  35 [2]: (000A04) 0000000000101000000100 {c, j, l}
  36 [2]: (000C04) 0000000000110000000100 {c, k, l}
  37 [2]: (00100C) 0000000001000000001100 {c, d, m}
  38 [2]: (001014) 0000000001000000010100 {c, e, m}
  39 [2]: (001024) 0000000001000000100100 {c, f, m}
  40 [2]: (001044) 0000000001000001000100 {c, g, m}
  41 [2]: (001084) 0000000001000010000100 {c, h, m}
  42 [2]: (001104) 0000000001000100000100 {c, i, m}
  43 [2]: (001204) 0000000001001000000100 {c, j, m}
  44 [2]: (001404) 0000000001010000000100 {c, k, m}
  45 [2]: (001804) 0000000001100000000100 {c, l, m}
  46 [2]: (00200C) 0000000010000000001100 {c, d, n}
  47 [2]: (002014) 0000000010000000010100 {c, e, n}
  48 [2]: (002024) 0000000010000000100100 {c, f, n}
  49 [2]: (002044) 0000000010000001000100 {c, g, n}
  50 [2]: (002084) 0000000010000010000100 {c, h, n}
  51 [2]: (002104) 0000000010000100000100 {c, i, n}
  52 [2]: (002204) 0000000010001000000100 {c, j, n}
  53 [2]: (002404) 0000000010010000000100 {c, k, n}
  54 [2]: (002804) 0000000010100000000100 {c, l, n}
  55 [2]: (003004) 0000000011000000000100 {c, m, n}
  56 [2]: (00400C) 0000000100000000001100 {c, d, o}
  57 [2]: (004014) 0000000100000000010100 {c, e, o}
  58 [2]: (004024) 0000000100000000100100 {c, f, o}
  59 [2]: (004044) 0000000100000001000100 {c, g, o}
  60 [2]: (004084) 0000000100000010000100 {c, h, o}
  61 [2]: (004104) 0000000100000100000100 {c, i, o}
  62 [2]: (004204) 0000000100001000000100 {c, j, o}
  63 [2]: (004404) 0000000100010000000100 {c, k, o}
  64 [2]: (004804) 0000000100100000000100 {c, l, o}
  65 [2]: (005004) 0000000101000000000100 {c, m, o}
  66 [2]: (006004) 0000000110000000000100 {c, n, o}
  67 [2]: (00800C) 0000001000000000001100 {c, d, p}
  68 [2]: (008014) 0000001000000000010100 {c, e, p}
  69 [2]: (008024) 0000001000000000100100 {c, f, p}
  70 [2]: (008044) 0000001000000001000100 {c, g, p}
  71 [2]: (008084) 0000001000000010000100 {c, h, p}
  72 [2]: (008104) 0000001000000100000100 {c, i, p}
  73 [2]: (008204) 0000001000001000000100 {c, j, p}
  74 [2]: (008404) 0000001000010000000100 {c, k, p}
  75 [2]: (008804) 0000001000100000000100 {c, l, p}
  76 [2]: (009004) 0000001001000000000100 {c, m, p}
  77 [2]: (00A004) 0000001010000000000100 {c, n, p}
  78 [2]: (00C004) 0000001100000000000100 {c, o, p}
  79 [2]: (01000C) 0000010000000000001100 {c, d, q}
  80 [2]: (010014) 0000010000000000010100 {c, e, q}
  81 [2]: (010024) 0000010000000000100100 {c, f, q}
  82 [2]: (010044) 0000010000000001000100 {c, g, q}
  83 [2]: (010084) 0000010000000010000100 {c, h, q}
  84 [2]: (010104) 0000010000000100000100 {c, i, q}
  85 [2]: (010204) 0000010000001000000100 {c, j, q}
  86 [2]: (010404) 0000010000010000000100 {c, k, q}
  87 [2]: (010804) 0000010000100000000100 {c, l, q}
  88 [2]: (011004) 0000010001000000000100 {c, m, q}
  89 [2]: (012004) 0000010010000000000100 {c, n, q}
  90 [2]: (014004) 0000010100000000000100 {c, o, q}
  91 [2]: (018004) 0000011000000000000100 {c, p, q}
  92 [2]: (02000C) 0000100000000000001100 {c, d, r}
  93 [2]: (020014) 0000100000000000010100 {c, e, r}
  94 [2]: (020024) 0000100000000000100100 {c, f, r}
  95 [2]: (020044) 0000100000000001000100 {c, g, r}
  96 [2]: (020084) 0000100000000010000100 {c, h, r}
  97 [2]: (020104) 0000100000000100000100 {c, i, r}
  98 [2]: (020204) 0000100000001000000100 {c, j, r}
  99 [2]: (020404) 0000100000010000000100 {c, k, r}
 100 [2]: (020804) 0000100000100000000100 {c, l, r}
 101 [2]: (021004) 0000100001000000000100 {c, m, r}
 102 [2]: (022004) 0000100010000000000100 {c, n, r}
 103 [2]: (024004) 0000100100000000000100 {c, o, r}
 104 [2]: (028004) 0000101000000000000100 {c, p, r}
 105 [2]: (030004) 0000110000000000000100 {c, q, r}
 106 [2]: (04000C) 0001000000000000001100 {c, d, s}
 107 [2]: (040014) 0001000000000000010100 {c, e, s}
 108 [2]: (040024) 0001000000000000100100 {c, f, s}
 109 [2]: (040044) 0001000000000001000100 {c, g, s}
 110 [2]: (040084) 0001000000000010000100 {c, h, s}
 111 [2]: (040104) 0001000000000100000100 {c, i, s}
 112 [2]: (040204) 0001000000001000000100 {c, j, s}
 113 [2]: (040404) 0001000000010000000100 {c, k, s}
 114 [2]: (040804) 0001000000100000000100 {c, l, s}
 115 [2]: (041004) 0001000001000000000100 {c, m, s}
 116 [2]: (042004) 0001000010000000000100 {c, n, s}
 117 [2]: (044004) 0001000100000000000100 {c, o, s}
 118 [2]: (048004) 0001001000000000000100 {c, p, s}
 119 [2]: (050004) 0001010000000000000100 {c, q, s}
 120 [2]: (060004) 0001100000000000000100 {c, r, s}
 121 [2]: (08000C) 0010000000000000001100 {c, d, t}
 122 [2]: (080014) 0010000000000000010100 {c, e, t}
 123 [2]: (080024) 0010000000000000100100 {c, f, t}
 124 [2]: (080044) 0010000000000001000100 {c, g, t}
 125 [2]: (080084) 0010000000000010000100 {c, h, t}
 126 [2]: (080104) 0010000000000100000100 {c, i, t}
 127 [2]: (080204) 0010000000001000000100 {c, j, t}
 128 [2]: (080404) 0010000000010000000100 {c, k, t}
 129 [2]: (080804) 0010000000100000000100 {c, l, t}
 130 [2]: (081004) 0010000001000000000100 {c, m, t}
 131 [2]: (082004) 0010000010000000000100 {c, n, t}
 132 [2]: (084004) 0010000100000000000100 {c, o, t}
 133 [2]: (088004) 0010001000000000000100 {c, p, t}
 134 [2]: (090004) 0010010000000000000100 {c, q, t}
 135 [2]: (0A0004) 0010100000000000000100 {c, r, t}
 136 [2]: (0C0004) 0011000000000000000100 {c, s, t}
 137 [2]: (10000C) 0100000000000000001100 {c, d, u}
 138 [2]: (100014) 0100000000000000010100 {c, e, u}
 139 [2]: (100024) 0100000000000000100100 {c, f, u}
 140 [2]: (100044) 0100000000000001000100 {c, g, u}
 141 [2]: (100084) 0100000000000010000100 {c, h, u}
 142 [2]: (100104) 0100000000000100000100 {c, i, u}
 143 [2]: (100204) 0100000000001000000100 {c, j, u}
 144 [2]: (100404) 0100000000010000000100 {c, k, u}
 145 [2]: (100804) 0100000000100000000100 {c, l, u}
 146 [2]: (101004) 0100000001000000000100 {c, m, u}
