** FASE 1: Generazione dei 4-subset a distanza casuale (4)
** Base set: 0000000000000000000000000001111 {a, b, c, d}
   1 [4]: (0000F0) 0000000000000000000000011110000 {e, f, g, h}
   2 [4]: (000170) 0000000000000000000000101110000 {e, f, g, i}
   3 [4]: (0001B0) 0000000000000000000000110110000 {e, f, h, i}
   4 [4]: (0001D0) 0000000000000000000000111010000 {e, g, h, i}
   5 [4]: (0001E0) 0000000000000000000000111100000 {f, g, h, i}
   6 [4]: (000270) 0000000000000000000001001110000 {e, f, g, j}
   7 [4]: (0002B0) 0000000000000000000001010110000 {e, f, h, j}
   8 [4]: (0002D0) 0000000000000000000001011010000 {e, g, h, j}
   9 [4]: (0002E0) 0000000000000000000001011100000 {f, g, h, j}
  10 [4]: (000330) 0000000000000000000001100110000 {e, f, i, j}
  11 [4]: (000350) 0000000000000000000001101010000 {e, g, i, j}
  12 [4]: (000360) 0000000000000000000001101100000 {f, g, i, j}
  13 [4]: (000390) 0000000000000000000001110010000 {e, h, i, j}
  14 [4]: (0003A0) 0000000000000000000001110100000 {f, h, i, j}
  15 [4]: (0003C0) 0000000000000000000001111000000 {g, h, i, j}
  16 [4]: (000470) 0000000000000000000010001110000 {e, f, g, k}
  17 [4]: (0004B0) 0000000000000000000010010110000 {e, f, h, k}
  18 [4]: (0004D0) 0000000000000000000010011010000 {e, g, h, k}
  19 [4]: (0004E0) 0000000000000000000010011100000 {f, g, h, k}
  20 [4]: (000530) 0000000000000000000010100110000 {e, f, i, k}
  21 [4]: (000550) 0000000000000000000010101010000 {e, g, i, k}
  22 [4]: (000560) 0000000000000000000010101100000 {f, g, i, k}
  23 [4]: (000590) 0000000000000000000010110010000 {e, h, i, k}
  24 [4]: (0005A0) 0000000000000000000010110100000 {f, h, i, k}
  25 [4]: (0005C0) 0000000000000000000010111000000 {g, h, i, k}
  26 [4]: (000630) 0000000000000000000011000110000 {e, f, j, k}
  27 [4]: (000650) 0000000000000000000011001010000 {e, g, j, k}
  28 [4]: (000660) 0000000000000000000011001100000 {f, g, j, k}
  29 [4]: (000690) 0000000000000000000011010010000 {e, h, j, k}
  30 [4]: (0006A0) 0000000000000000000011010100000 {f, h, j, k}
  31 [4]: (0006C0) 0000000000000000000011011000000 {g, h, j, k}
  32 [4]: (000710) 0000000000000000000011100010000 {e, i, j, k}
  33 [4]: (000720) 0000000000000000000011100100000 {f, i, j, k}
  34 [4]: (000740) 0000000000000000000011101000000 {g, i, j, k}
  35 [4]: (000780) 0000000000000000000011110000000 {h, i, j, k}
  36 [4]: (000870) 0000000000000000000100001110000 {e, f, g, l}
  37 [4]: (0008B0) 0000000000000000000100010110000 {e, f, h, l}
  38 [4]: (0008D0) 0000000000000000000100011010000 {e, g, h, l}
  39 [4]: (0008E0) 0000000000000000000100011100000 {f, g, h, l}
  40 [4]: (000930) 0000000000000000000100100110000 {e, f, i, l}
  41 [4]: (000950) 0000000000000000000100101010000 {e, g, i, l}
  42 [4]: (000960) 0000000000000000000100101100000 {f, g, i, l}
  43 [4]: (000990) 0000000000000000000100110010000 {e, h, i, l}
  44 [4]: (0009A0) 0000000000000000000100110100000 {f, h, i, l}
  45 [4]: (0009C0) 0000000000000000000100111000000 {g, h, i, l}
  46 [4]: (000A30) 0000000000000000000101000110000 {e, f, j, l}
  47 [4]: (000A50) 0000000000000000000101001010000 {e, g, j, l}
  48 [4]: (000A60) 0000000000000000000101001100000 {f, g, j, l}
  49 [4]: (000A90) 0000000000000000000101010010000 {e, h, j, l}
  50 [4]: (000AA0) 0000000000000000000101010100000 {f, h, j, l}
  51 [4]: (000AC0) 0000000000000000000101011000000 {g, h, j, l}
  52 [4]: (000B10) 0000000000000000000101100010000 {e, i, j, l}
  53 [4]: (000B20) 0000000000000000000101100100000 {f, i, j, l}
  54 [4]: (000B40) 0000000000000000000101101000000 {g, i, j, l}
  55 [4]: (000B80) 0000000000000000000101110000000 {h, i, j, l}
  56 [4]: (000C30) 0000000000000000000110000110000 {e, f, k, l}
  57 [4]: (000C50) 0000000000000000000110001010000 {e, g, k, l}
  58 [4]: (000C60) 0000000000000000000110001100000 {f, g, k, l}
  59 [4]: (000C90) 0000000000000000000110010010000 {e, h, k, l}
  60 [4]: (000CA0) 0000000000000000000110010100000 {f, h, k, l}
  61 [4]: (000CC0) 0000000000000000000110011000000 {g, h, k, l}
  62 [4]: (000D10) 0000000000000000000110100010000 {e, i, k, l}
  63 [4]: (000D20) 0000000000000000000110100100000 {f, i, k, l}
  64 [4]: (000D40) 0000000000000000000110101000000 {g, i, k, l}
  65 [4]: (000D80) 0000000000000000000110110000000 {h, i, k, l}
  66 [4]: (000E10) 0000000000000000000111000010000 {e, j, k, l}
  67 [4]: (000E20) 0000000000000000000111000100000 {f, j, k, l}
  68 [4]: (000E40) 0000000000000000000111001000000 {g, j, k, l}
  69 [4]: (000E80) 0000000000000000000111010000000 {h, j, k, l}
  70 [4]: (000F00) 0000000000000000000111100000000 {i, j, k, l}
  71 [4]: (001070) 0000000000000000001000001110000 {e, f, g, m}
  72 [4]: (0010B0) 0000000000000000001000010110000 {e, f, h, m}
  73 [4]: (0010D0) 0000000000000000001000011010000 {e, g, h, m}
  74 [4]: (0010E0) 0000000000000000001000011100000 {f, g, h, m}
  75 [4]: (001130) 0000000000000000001000100110000 {e, f, i, m}
  76 [4]: (001150) 0000000000000000001000101010000 {e, g, i, m}
  77 [4]: (001160) 0000000000000000001000101100000 {f, g, i, m}
  78 [4]: (001190) 0000000000000000001000110010000 {e, h, i, m}
